schl,aun,name,districtname,leatype,total,d_asian,d_black,d_hispanic,d_islander,d_native,d_white,d_2_or_more,d_econ,d_ell,d_sped,d_title_1,d_male,d_female,d_street,d_state,d_zip,d_telephone,d_Website,d_county,d_cte_programs,d_enrollment,d_gifted,d_grades_offered,d_iu_name,d_iu_website
0030,103026873,Avalon El Sch,Northgate School District,SD,273,0,11.4,3.3,0.4,0,70.7,14.3,54.6,0.0,16.5,Yes,47.6,52.4,721 California Ave,PA,15202,412-732-3300,http://www.northgate.k12.pa.us,Pittsburgh,Not Available,273,1.8,"K5F, 1, 2, 3, 4, 5, 6",Allegheny IU 3,http://www.aiu3.net
0034,103020753,Avonworth El Sch,Avonworth School District,SD,548,1.5,1.3,2,0.2,0,92.3,2.7,14.6,0.0,10.8,No,52.6,47.4,1320 Roosevelt Rd,PA,15237,412-366-7170,http://www.avonworth.k12.pa.us,Pittsburgh,Not Available,548,15,"3, 4, 5, 6",Allegheny IU 3,http://www.aiu3.net
0037,103021102,McAnnulty El Sch,Baldwin-Whitehall School District,SD,364,19.8,6,3.3,0,0,66.5,4.4,36.8,6.6,10.4,Yes,52.2,47.8,5151 McAnnulty Road,PA,15236,412-714-2020,http://www.bwschools.net,Pittsburgh,Not Available,364,0,"K5F, 1",Allegheny IU 3,http://www.aiu3.net
0048,103021102,Whitehall El Sch,Baldwin-Whitehall School District,SD,744,16.1,5.2,1.9,0.1,0,72.4,4.2,41.3,7.9,12.9,Yes,52.3,47.7,4900 Curry Rd,PA,15236,412-885-7525,http://www.bwschools.net,Pittsburgh,Not Available,744,1.8,"2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0050,103021102,Baldwin SHS,Baldwin-Whitehall School District,SD,1414,9.8,5.3,1.8,0,0.1,79.8,3.2,37.6,5.9,6.9,No,49.9,50.1,4653 Clairton Blvd,PA,15236,412-885-7500,http://www.bwschools.net,Pittsburgh,Not Available,1414,3.5,"9, 10, 11, 12",Allegheny IU 3,http://www.aiu3.net
0053,103026873,Northgate MSHS,Northgate School District,SD,463,2.6,13,2.6,1.3,0,69.8,10.8,53.6,2.8,21.2,No,50.3,49.7,589 Union Ave,PA,15202,412-732-3300,http://www.northgate.k12.pa.us,Pittsburgh,Not Available,463,6.5,"7, 8, 9, 10, 11, 12",Allegheny IU 3,http://www.aiu3.net
0055,103021252,Bethel Memorial El Sch,Bethel Park School District,SD,326,9.5,0.9,1.8,0,0,83.7,4,12,8.0,17.2,Yes,55.2,44.8,3301 S Park Rd,PA,15102,412-854-8506,http://www.bpsd.org/,Bethel Park,Not Available,326,2.8,"K5H, 1, 2, 3, 4",Allegheny IU 3,http://www.aiu3.net
0060,103021252,William Penn El Sch,Bethel Park School District,SD,179,1.7,4.5,0,0.6,0,92.2,1.1,12.8,0.0,23.5,Yes,47.5,52.5,110 Woodlet Ln,PA,15102,412-854-8522,http://www.bpsd.org/,Bethel Park,Not Available,179,1.1,"K5H, 1, 2, 3, 4",Allegheny IU 3,http://www.aiu3.net
0061,103021252,Independence MS,Bethel Park School District,SD,639,2.2,4.5,0.5,0.2,0,91.9,0.8,15.8,0.2,15.6,No,51.2,48.8,2807 Bethel Church Rd,PA,15102,412-854-8677,http://www.bpsd.org/,Bethel Park,Not Available,639,6.4,"7, 8",Allegheny IU 3,http://www.aiu3.net
0062,103021252,Bethel Park HS,Bethel Park School District,SD,1497,1.3,2.6,0.9,0.2,0.1,93.9,1,12.8,0.3,13.8,No,50.8,49.2,309 Church Rd,PA,15102,412-854-8581,http://www.bpsd.org/,Bethel Park,Not Available,1497,7,"9, 10, 11, 12",Allegheny IU 3,http://www.aiu3.net
0068,103021453,Moore Sch,Brentwood Borough School District,SD,230,8.7,4.8,2.2,0,0,83.9,0.4,44.4,6.1,15.2,Yes,51.3,48.7,3809 Dalewood St,PA,15227,412-881-7776,http://www.bb-sd.com,Pittsburgh,Not Available,230,1.3,"K5F, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0069,103021453,Elroy Avenue El Sch,Brentwood Borough School District,SD,308,1,5.8,3.9,0,0.3,85.7,3.2,58.1,8.1,14.6,Yes,50,50,3129 Elroy Ave,PA,15227,412-881-4484,http://www.bb-sd.com,Pittsburgh,Not Available,308,1,"K5F, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0070,103021453,Brentwood SHS,Brentwood Borough School District,SD,370,5.1,4.9,2.7,0.5,0,85.4,1.4,46,4.9,11.1,No,54.6,45.4,3601 Brownsville Rd,PA,15227,412-881-4940,http://www.bb-sd.com,Pittsburgh,Not Available,370,4.3,"9, 10, 11, 12",Allegheny IU 3,http://www.aiu3.net
0077,103021603,Carnegie El Sch,Carlynton School District,SD,413,7.3,12.4,2.9,0,0,64.6,12.8,39.7,8.7,19.1,Yes,51.6,48.4,301 Franklin Ave,PA,15106,412-429-2500,http://www.carlynton.k12.pa.us,Carnegie,Not Available,413,1.2,"K5F, 1, 2, 3, 4, 5, 6",Allegheny IU 3,http://www.aiu3.net
0078,103021603,Crafton El Sch,Carlynton School District,SD,342,0.6,7.6,3.5,0,0,75.2,13.2,38.3,0.0,15.5,Yes,53.5,46.5,1874 Crafton Blvd,PA,15205,412-429-2500,http://www.carlynton.k12.pa.us,Pittsburgh,Not Available,342,2.9,"K5F, 1, 2, 3, 4, 5, 6",Allegheny IU 3,http://www.aiu3.net
0079,103021603,Carlynton JSHS,Carlynton School District,SD,586,1.7,14.5,2.4,0.3,0,77.5,3.6,44.4,2.4,15.4,No,50.8,49.2,435 Kings Hwy,PA,15106,412-429-2500,http://www.carlynton.k12.pa.us,Carnegie,Not Available,586,7,"7, 8, 9, 10, 11, 12",Allegheny IU 3,http://www.aiu3.net
0094,103021752,Chartiers Valley MS,Chartiers Valley School District,SD,732,4.5,2.9,1.9,0,0.1,84.2,6.4,33.6,2.5,12.6,No,51.6,48.4,50 Thoms Run Rd,PA,15017,412-429-2223,http://www.cvsd.net,Bridgeville,Not Available,732,4,"6, 7, 8",Allegheny IU 3,http://www.aiu3.net
0107,103029902,Woodland Hills JSHS,Woodland Hills School District,SD,1563,1,62.4,2,0,0.3,30.2,4,56.3,0.5,21.4,Yes,53.1,46.9,2550 Greensburg Pike,PA,15221,412-244-1100,http://www.whsd.k12.pa.us,Pittsburgh,Not Available,1563,9.3,"7, 8, 9, 10, 11, 12",Allegheny IU 3,http://www.aiu3.net
0136,103023153,Central El Sch,Elizabeth Forward School District,SD,312,0.6,1.6,1.3,0,0,93.6,2.9,19.6,0.0,20.8,No,52.6,47.4,401 Rock Run Road,PA,15037,412-896-2318,http://www.efsd.net,Elizabeth,Not Available,312,1.3,"K5F, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0139,103023153,William Penn El Sch,Elizabeth Forward School District,SD,345,0,1.4,0.9,0,0,95.9,1.7,46.4,0.0,22,Yes,51.6,48.4,392 William Penn Road,PA,15063,412-896-2330,http://www.efsd.net,Monongahela,Not Available,345,1.2,"K5F, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0142,103023153,Mt Vernon El Sch,Elizabeth Forward School District,SD,197,0,7.6,0.5,0,0,90.4,1.5,40.1,0.0,25.9,No,49.2,50.8,2400 Greenock Buena Vista Road,PA,15135,412-896-2327,http://www.efsd.net,McKeesport,Not Available,197,0,"3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0144,103023153,Elizabeth Forward SHS,Elizabeth Forward School District,SD,720,0,4.2,0.6,0,0.3,93.2,1.8,35.7,0.0,17.2,N,49.9,50.1,1000 Weigles Hill Road,PA,15037,412-896-2349,http://www.efsd.net,Elizabeth,Not Available,720,7.5,"9, 10, 11, 12",Allegheny IU 3,http://www.aiu3.net
0147,103023912,Dorseyville MS,Fox Chapel Area School District,SD,890,7.4,3.5,2.4,0,0.1,84.6,2,19.9,0.7,12.6,Yes,51.9,48.1,3732 Saxonburg Blvd,PA,15238,412-767-5343,http://www.fcasd.edu,Pittsburgh,Not Available,890,11.5,"6, 7, 8",Allegheny IU 3,http://www.aiu3.net
0149,103023912,Fairview El Sch,Fox Chapel Area School District,SD,358,7,0.3,2.2,0,0.3,85.5,4.8,6.4,1.1,10.9,No,53.4,46.6,738 Dorseyville Rd,PA,15238,412-963-9315,http://www.fcasd.edu,Pittsburgh,Not Available,358,4.8,"K5F, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0153,103023912,Kerr El Sch,Fox Chapel Area School District,SD,364,4.7,9.6,5,0,0,74.2,6.6,43.7,0.8,12.1,Yes,55.8,44.2,341 Kittanning Pike,PA,15215,412-781-4105,http://www.fcasd.edu,Pittsburgh,Not Available,364,2.5,"K5F, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0156,103023912,Fox Chapel Area HS,Fox Chapel Area School District,SD,1347,7.9,4.7,3.3,0,0.2,83,0.9,19.8,0.4,11.7,No,49.7,50.3,611 Field Club Rd,PA,15238,412-967-2430,http://www.fcasd.edu,Pittsburgh,Not Available,1347,8.2,"9, 10, 11, 12",Allegheny IU 3,http://www.aiu3.net
0157,103024102,Evergreen El Sch,Gateway School District,SD,227,7,27.8,6.6,0,0,46.3,12.3,63.4,4.8,19.8,Yes,50.2,49.8,3831 Evergreen Dr,PA,15146,412-373-5842,http://www.gatewayk12.org,Monroeville,Not Available,227,2.6,"K5F, 1, 2, 3, 4",Allegheny IU 3,http://www.aiu3.net
0161,103024102,Dr Cleveland Steward Jr El Sch,Gateway School District,SD,322,7.4,30.4,4,0,0.6,47.2,10.2,31.7,2.8,20.8,Yes,55.6,44.4,5000 Gateway Campus Blvd,PA,15146,412-373-5874,http://www.gatewayk12.org,Monroeville,Not Available,322,1.6,"K5F, 1, 2, 3, 4",Allegheny IU 3,http://www.aiu3.net
0165,103024102,University Park El Sch,Gateway School District,SD,334,15.9,18,4.2,0,0.6,55.4,6,40.4,3.6,17.4,Yes,54.8,45.2,320 Noel Dr,PA,15146,724-327-4113,http://www.gatewayk12.org,Monroeville,Not Available,334,1.8,"K5F, 1, 2, 3, 4",Allegheny IU 3,http://www.aiu3.net
0167,103024102,Gateway MS,Gateway School District,SD,493,6.9,27.6,4.1,0.4,0.2,53.4,7.5,50.9,1.8,19.5,No,50.1,49.9,4450 Old William Penn Hwy,PA,15146,412-373-5780,http://www.gatewayk12.org,Monroeville,Not Available,493,9.1,"7, 8",Allegheny IU 3,http://www.aiu3.net
0169,103024102,Moss Side MS,Gateway School District,SD,500,7.8,25.2,4.4,0,0,56.4,6.2,61.8,2.2,21.4,Yes,55.4,44.6,9000 Gateway Campus Blvd,PA,15146,412-373-5830,http://www.gatewayk12.org,Monroeville,Not Available,500,7.2,"5, 6",Allegheny IU 3,http://www.aiu3.net
0170,103024102,Gateway SHS,Gateway School District,SD,1100,6.2,22.4,3,0.9,0,62.8,4.6,46.1,1.6,17.5,No,52.2,47.8,3000 Gateway Campus Blvd,PA,15146,412-373-5744,http://www.gatewayk12.org,Monroeville,Not Available,1100,8.3,"9, 10, 11, 12",Allegheny IU 3,http://www.aiu3.net
0175,103024603,Central El Sch,Hampton Township School District,SD,473,2.3,0.4,0.8,0,0,93.9,2.5,11.8,0.2,9.3,Yes,52.2,47.8,4100 Middle Rd,PA,15101,412-492-6320,http://www.ht-sd.org,Allison Park,Not Available,473,0.2,"K5H, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0176,103024603,Wyland El Sch,Hampton Township School District,SD,367,7.6,0.8,1.1,0,0,87.7,2.7,15.3,1.6,9.3,Yes,53.7,46.3,2284 Wyland Ave,PA,15101,412-492-6345,http://www.ht-sd.org,Allison Park,Not Available,367,0.3,"K5H, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0178,103024603,Poff El Sch,Hampton Township School District,SD,295,2,0.7,0.7,0,0.3,94.6,1.7,9.5,0.7,6.4,No,49.2,50.8,2990 Haberlein Rd,PA,15044,412-492-6335,http://www.ht-sd.org,Gibsonia,Not Available,295,0,"K5H, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0179,103024603,Hampton MS,Hampton Township School District,SD,698,2.9,1.4,1.4,0,0.4,90.7,3.2,11.2,0.0,8.9,Yes,49,51,4589 School Rd,PA,15101,412-492-6356,http://www.ht-sd.org,Allison Park,Not Available,698,0.9,"6, 7, 8",Allegheny IU 3,http://www.aiu3.net
0180,103024753,Fawn Primary Center,Highlands School District,SD,279,0.4,9,1.4,0,0.7,78.1,10.4,53.4,0.0,19.4,Yes,46.6,53.4,5591 Ridge Rd,PA,15065,724-224-4844,http://www.goldenrams.com,Natrona Heights,Not Available,279,0,"K4H, K5F, 1, 2",Allegheny IU 3,http://www.aiu3.net
0182,103024753,Fairmount Primary Center,Highlands School District,SD,276,1.1,7.2,3.6,0,0.7,69.9,17.4,58.7,0.7,22.1,Yes,55.4,44.6,1060 Atlantic Ave,PA,15014,724-224-5880,http://www.goldenrams.com,Brackenridge,Not Available,276,0,"K5F, 1, 2",Allegheny IU 3,http://www.aiu3.net
0191,103024753,Grandview Upper El Sch,Highlands School District,SD,636,1.1,7.9,1.4,0,0.3,79.4,9.9,67.4,0.0,20.6,Yes,55.8,44.2,101 East 9th Ave,PA,15084,724-224-0300,http://www.goldenrams.com,Tarentum,Not Available,636,1.3,"PreKH, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0193,103028833,Barrett El Sch,Steel Valley School District,SD,225,1.3,77.8,0.4,0,0,10.7,9.8,79.6,0.4,32.4,Yes,55.1,44.9,221 E 12th Ave,PA,15120,412-464-3600,http://www.Steelvalleysd.org,Homestead,Not Available,225,1.8,"K5F, 1, 2, 3, 4",Allegheny IU 3,http://www.aiu3.net
0196,103028833,Steel Valley SHS,Steel Valley School District,SD,471,0.6,37.2,0.6,0,0,57.1,4.5,66,0.2,17.6,Yes,48.6,51.4,3113 Main St,PA,15120,412-464-3600,http://www.Steelvalleysd.org,Munhall,Not Available,471,5.5,"9, 10, 11, 12",Allegheny IU 3,http://www.aiu3.net
0203,103025002,Fred L Aiken El Sch,Keystone Oaks School District,SD,190,9.5,5.8,3.7,0,0,74.7,6.3,24.2,5.3,14.2,No,42.1,57.9,881 Greentree Rd,PA,15220,412-921-9166,http://www.kosd.org,Pittsburgh,Not Available,190,0.5,"K5F, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0204,103025002,Myrtle Ave Sch,Keystone Oaks School District,SD,286,13.6,5.6,4.2,0,0,70.3,6.3,40.2,5.6,15.4,Yes,50,50,3724 Myrtle Ave,PA,15234,412-571-6137,http://www.kosd.org,Pittsburgh,Not Available,286,2.1,"K5F, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0240,103026343,Bon Meade El Sch,Moon Area School District,SD,543,5.5,2.6,2,0,0.2,85.4,4.2,18,0.6,12.2,No,50.5,49.5,1595 Brodhead Rd,PA,15108,412-264-9440,http://www.moonarea.net,Moon township,Not Available,543,1.8,"K5F, 1, 2, 3, 4",Allegheny IU 3,http://www.aiu3.net
0245,103026402,Washington El Sch,Mt Lebanon School District,SD,447,6.9,2.2,4.2,0,0,81.4,5.2,15.7,4.0,13,Yes,50.3,49.7,735 Washington Rd,PA,15228,412-344-2142,http://www.mtlsd.org,Pittsburgh,Not Available,447,2,"K5H, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0246,103026402,Lincoln El Sch,Mt Lebanon School District,SD,417,6,1.4,3.8,0.2,0,82,6.5,17,4.1,11.5,Yes,53.2,46.8,2 Ralston Pl,PA,15216,412-344-2147,http://www.mtlsd.org,Pittsburgh,Not Available,417,1.9,"K5H, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0247,103026402,Markham El Sch,Mt Lebanon School District,SD,326,1.8,0.6,1.5,0,0,90.8,5.2,2.8,0.6,8.6,No,50.3,49.7,165 Crescent Dr,PA,15228,412-344-2152,http://www.mtlsd.org,Pittsburgh,Not Available,326,5.5,"K5H, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0248,103026402,Howe El Sch,Mt Lebanon School District,SD,356,4.5,1.1,1.4,0,0,89.6,3.4,15.2,0.6,10.7,No,54.8,45.2,400 Broadmoor Ave,PA,15228,412-344-2157,http://www.mtlsd.org,Pittsburgh,Not Available,356,2.5,"K5H, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0249,103026402,Foster El Sch,Mt Lebanon School District,SD,240,6.7,0.8,2.9,0,0.4,82.1,7.1,14.2,5.0,11.7,Yes,52.5,47.5,700 Vermont Ave,PA,15234,412-344-2162,http://www.mtlsd.org,Pittsburgh,Not Available,240,0.8,"K5H, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0250,103026402,Jefferson El Sch,Mt Lebanon School District,SD,314,6,1.3,2.2,0,0,87.6,2.9,5.7,2.2,8.6,No,49.7,50.3,11 Moffett St,PA,15243,412-344-2167,http://www.mtlsd.org,Pittsburgh,Not Available,314,3.2,"K5H, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0251,103026402,Hoover El Sch,Mt Lebanon School District,SD,275,16,1.4,0.7,0,0,77.4,4.4,10.6,4.4,14.9,No,52.7,47.3,37 Robb Hollow Rd,PA,15243,412-276-7411,http://www.mtlsd.org,Pittsburgh,Not Available,275,1.4,"K5H, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0254,103026402,Mt Lebanon SHS,Mt Lebanon School District,SD,1761,4.6,1.8,2.1,0.3,0.1,89.4,1.7,14,1.2,12.1,No,50.2,49.8,155 Cochran Rd,PA,15228,412-344-2003,http://www.mtlsd.org,Pittsburgh,Not Available,1761,4.9,"9, 10, 11, 12",Allegheny IU 3,http://www.aiu3.net
0259,103028833,Park El Sch,Steel Valley School District,SD,301,1.3,10,0.7,0,0,81.7,6.3,45.5,0.3,22.6,Yes,53.2,46.8,4100 Main St,PA,15120,412-464-3600,http://www.Steelvalleysd.org,Munhall,Not Available,301,3.6,"K5F, 1, 2, 3, 4",Allegheny IU 3,http://www.aiu3.net
0260,103028833,Steel Valley MS,Steel Valley School District,SD,431,1.2,40.1,1.2,0,0,50.8,6.7,75.2,0.2,26.9,Yes,51.5,48.5,3114 Main St,PA,15120,412-464-3600,http://www.Steelvalleysd.org,Munhall,Not Available,431,4.9,"5, 6, 7, 8",Allegheny IU 3,http://www.aiu3.net
0263,103026852,Bradford Woods El Sch,North Allegheny School District,SD,499,20.8,1.4,0,0,0,75,2.8,2.4,0.0,11.4,No,53.3,46.7,41 Forest Road,PA,15015,724-935-5081,http://www.northallegheny.org,Bradford Woods,Not Available,499,7.2,"K5H, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0265,103026852,Franklin El Sch,North Allegheny School District,SD,351,33,1.7,0,0,0,63.2,2,1.4,0.0,11.7,No,53.3,46.7,2401 Rochester Rd,PA,15143,412-366-9663,http://www.northallegheny.org,Sewickley,Not Available,351,9.7,"K5H, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0266,103026852,Ingomar El Sch,North Allegheny School District,SD,446,9.2,1.1,0,0,0,87.4,2.2,3.1,0.0,17,No,54.5,45.5,602 W Ingomar Rd,PA,15237,412-366-9665,http://www.northallegheny.org,Pittsburgh,Not Available,446,4.5,"K5H, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0268,103026852,McKnight El Sch,North Allegheny School District,SD,745,9.3,1.2,0,0,0,85.8,3.8,10.6,5.1,13.6,Yes,53.8,46.2,500 Cumberland Rd,PA,15237,412-635-4105,http://www.northallegheny.org,Pittsburgh,Not Available,745,5.8,"K5H, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0269,103026852,Peebles El Sch,North Allegheny School District,SD,369,8.9,0.8,0,0,0.5,83.5,6.2,9.8,0.0,14.6,Yes,51.2,48.8,8625 Peebles Rd,PA,15237,412-366-9667,http://www.northallegheny.org,Pittsburgh,Not Available,369,6,"K5H, 1, 2, 3, 4, 5",Allegheny IU 3,http://www.aiu3.net
0270,103026852,Ingomar MS,North Allegheny School District,SD,504,15.5,0.2,0.4,0,0,82.7,1.2,4.4,0.0,12.7,No,53.2,46.8,1521 Ingomar Heights Rd,PA,15237,412-348-1470,http://www.northallegheny.org,Pittsburgh,Not Available,504,12.9,"6, 7, 8",Allegheny IU 3,http://www.aiu3.net
0290,103026902,West View El Sch,North Hills School District,SD,551,1.4,2,1.4,0,0.5,87.3,7.3,36.5,0.0,12.9,Yes,50.1,49.9,47 Chalfonte Ave,PA,15229,412-318-1502,http://www.nhsd.net,Pittsburgh,Not Available,551,7.8,"K5F, 1, 2, 3, 4, 5, 6",Allegheny IU 3,http://www.aiu3.net
0291,103026902,Ross El Sch,North Hills School District,SD,647,2,2.5,0.9,0,0.2,88.9,5.6,16.1,0.2,14.1,No,51.9,48.1,90 Houston Rd,PA,15237,412-318-1542,http://www.nhsd.net,Pittsburgh,Not Available,647,8,"K5F, 1, 2, 3, 4, 5, 6",Allegheny IU 3,http://www.aiu3.net
0295,103028203,Tenth Street El Sch,Riverview School District,SD,332,1.2,2.4,1.5,0.3,0,90.1,4.5,25,0.6,11.7,No,55.4,44.6,901 Pennsylvania Ave,PA,15139,412-828-1800,http://www.rsd.k12.pa.us,Oakmont,Not Available,332,5.1,"K5F, 1, 2, 3, 4, 5, 6",Allegheny IU 3,http://www.aiu3.net
0309,103027352,Penn Hills SHS,Penn Hills School District,SD,1226,1.1,63.2,1.8,0.1,0.3,30.8,2.6,62.2,0.4,20.5,No,51.7,48.3,309 Collins Drive,PA,15235,412-793-7000,http://www.phsd.k12.pa.us,Pittsburgh,Not Available,1226,5.1,"9, 10, 11, 12",Allegheny IU 3,http://www.aiu3.net
0314,103021003,Pine-Richland MS,Pine-Richland School District,SD,725,4,1.5,2.2,0,0.1,90.8,1.4,6.3,0.0,16,No,50.9,49.1,100 Logan Rd,PA,15044,724-625-3111,http://www.pinerichland.org,Gibsonia,Not Available,725,8.4,"7, 8",Allegheny IU 3,http://www.aiu3.net
0315,103021003,Pine-Richland HS,Pine-Richland School District,SD,1545,5.1,1.4,2.3,0.1,0.2,90.3,0.7,8.7,0.1,11.1,No,53,47,700 Warrendale Rd,PA,15044,724-625-4444,http://www.pinerichland.org,Gibsonia,Not Available,1545,7.5,"9, 10, 11, 12",Allegheny IU 3,http://www.aiu3.net
0326,102027451,Pittsburgh Carmalt K-8,Pittsburgh School District,SD,550,2,41.8,1.3,0.2,0.2,43.3,11.3,65.8,0.2,15.1,Yes,49.8,50.2,1550 Breining St,PA,15226,412-529-7760,http://www.pghschools.org/,Pittsburgh,Not Available,550,9.1,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8",Pittsburgh-Mt Oliver IU 2,http://www.pmoiu2.k12.pa.us/
0330,102027451,Pittsburgh Concord K-5,Pittsburgh School District,SD,473,18,18.8,11.8,0.2,0,42.3,8.9,78.4,23.3,13.7,Yes,49.5,50.5,2350 Brownsville Rd,PA,15210,412-529-7755,http://www.pghschools.org/,Pittsburgh,Not Available,473,2.1,"PreKF, K5F, 1, 2, 3, 4, 5",Pittsburgh-Mt Oliver IU 2,http://www.pmoiu2.k12.pa.us/
0351,102027451,Pittsburgh Montessori K-5,Pittsburgh School District,SD,295,2.7,20,1.4,1.4,0,68.8,5.8,31.5,0.0,7.8,Yes,54.9,45.1,201 S Graham St,PA,15206,412-529-2010,http://www.pghschools.org/,Pittsburgh,Not Available,295,17.6,"PreKF, K5F, 1, 2, 3, 4, 5",Pittsburgh-Mt Oliver IU 2,http://www.pmoiu2.k12.pa.us/
0363,102027451,Pittsburgh Minadeo K-5,Pittsburgh School District,SD,284,2.5,60.9,2.5,0,1.1,25.7,7.4,78.5,0.4,27.1,Yes,54.9,45.1,6502 Lilac St,PA,15217,412-529-4035,http://www.pghschools.org/,Pittsburgh,Not Available,284,10.9,"PreKF, K5F, 1, 2, 3, 4, 5",Pittsburgh-Mt Oliver IU 2,http://www.pmoiu2.k12.pa.us/
